Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2024-03-25,94.96418762207031,96.72748548007746,93.47278467924312,93.90361289500508,552136000
2024-03-26,92.524169921875,96.33665544167545,92.4651952874423,95.81286185029995,513648000
2024-03-27,90.21408081054688,93.20288866545509,89.08753045086448,93.074941256308,586067000
2024-03-28,90.3200454711914,91.26367004870988,89.15750627580795,89.96418433554203,435212000
2024-04-01,90.32704162597656,92.18830020895638,89.16850623304367,90.26307172974768,452441000
2024-04-02,89.4164047241211,90.05814752237067,87.58513306363145,88.41279885088287,433064000
2024-04-03,88.92859649658203,90.33803909261785,88.36482555925463,88.44879176806333,370067000
2024-04-04,85.87081146240234,90.59793338323315,85.8458198862947,90.3700196658157,434965000
2024-04-05,87.97297668457031,88.44578800690704,85.8918045734179,86.83142527427668,399678000
2024-04-08,87.09832763671875,88.79465089246293,86.69748624318682,88.66469774661466,283220000
2024-04-09,85.32002258300781,87.60012052713442,82.98895768982644,87.40719655433202,503547000
2024-04-10,87.00436401367188,87.36522041356919,83.67568736757892,83.89260387924026,431929000
2024-04-11,90.57994079589844,90.7028929518332,86.89141424964939,87.38521335302488,431637000
2024-04-12,88.15090942382812,90.13912407740513,87.49517220347197,89.66330791705667,426805000
2024-04-15,85.9667739868164,90.57693808006732,85.89480404361007,89.06254160849194,443077000
2024-04-16,87.3802261352539,88.08294177522718,86.0297656543146,86.39861452972899,370453000
2024-04-17,84.00155639648438,88.73966766585035,83.9165835166389,88.30483561683317,495400000
2024-04-18,84.6373062133789,86.15570660849322,82.36921187685391,84.93619083803762,447260000
2024-04-19,76.16968536376953,84.2904542682202,75.57592750797775,83.11692530020838,875198000
2024-04-22,79.48635864257812,80.041138120895,76.36960303384217,78.07291978914027,596341000
